school,grade,number_candidates,score,subject,year,area
MORNEU SHEPPELL SECONDARY,A,0,12,physics,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,physics,2019,kk
MORNEU SHEPPELL SECONDARY,B+,0,10,physics,2019,kk
MORNEU SHEPPELL SECONDARY,B,0,9,physics,2019,kk
MORNEU SHEPPELL SECONDARY,B-,2,8,physics,2019,kk
MORNEU SHEPPELL SECONDARY,C+,2,7,physics,2019,kk
MORNEU SHEPPELL SECONDARY,C,0,6,physics,2019,kk
MORNEU SHEPPELL SECONDARY,C-,2,5,physics,2019,kk
MORNEU SHEPPELL SECONDARY,D+,4,4,physics,2019,kk
MORNEU SHEPPELL SECONDARY,D,0,3,physics,2019,kk
MORNEU SHEPPELL SECONDARY,D-,7,2,physics,2019,kk
MORNEU SHEPPELL SECONDARY,E,1,1,physics,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,physics,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,physics,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,physics,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,physics,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,physics,2019,kk
VISION SECONDARY,A,0,12,physics,2019,kk
VISION SECONDARY,A-,0,11,physics,2019,kk
VISION SECONDARY,B+,3,10,physics,2019,kk
VISION SECONDARY,B,2,9,physics,2019,kk
VISION SECONDARY,B-,1,8,physics,2019,kk
VISION SECONDARY,C+,2,7,physics,2019,kk
VISION SECONDARY,C,2,6,physics,2019,kk
VISION SECONDARY,C-,5,5,physics,2019,kk
VISION SECONDARY,D+,5,4,physics,2019,kk
VISION SECONDARY,D,28,3,physics,2019,kk
VISION SECONDARY,D-,25,2,physics,2019,kk
